Loading dataset...
Initializing model...
Starting training...
trainable params: 5,898,240 || all params: 4,028,366,336 || trainable%: 0.1464
총 300개의 JSON 파일을 로드합니다.
총 300개의 JSON 파일이 성공적으로 로드되었습니다.
총 학습 스텝 수: 15000
[E1] step 2460 loss 1.5952
[E1] step 2470 loss 1.8500
[E1] step 2480 loss 0.5911
[E1] step 2490 loss 4.3922
[E1] step 2500 loss 0.3048
[E1] step 2510 loss 1.5272
[E1] step 2520 loss 0.9085
[E1] step 2530 loss 0.5856
[E1] step 2540 loss 1.5803
[E1] step 2550 loss 1.2866
[E1] step 2560 loss 0.2759
[E1] step 2570 loss 0.2603
[E1] step 2580 loss 0.7348
[E1] step 2590 loss 2.2143
[E1] step 2600 loss 1.8486
[E1] step 2610 loss 0.9241
[E1] step 2620 loss 1.1890
[E1] step 2630 loss 0.2907
[E1] step 2640 loss 3.0684
[E1] step 2650 loss 2.7695
[E1] step 2660 loss 0.3531
[E1] step 2670 loss 1.7322
[E1] step 2680 loss 0.5723
[E1] step 2690 loss 1.9642
[E1] step 2700 loss 0.5722
[E1] step 2710 loss 0.0975
[E1] step 2720 loss 2.0447
[E1] step 2730 loss 0.0912
[E1] step 2740 loss 2.4376
[E1] step 2750 loss 4.1827
[E1] step 2760 loss 0.0026
[E1] step 2770 loss 0.2013
[E1] step 2780 loss 0.0289
[E1] step 2790 loss 0.4487
[E1] step 2800 loss 0.4669
[E1] step 2810 loss 0.1450
[E1] step 2820 loss 0.0137
[E1] step 2830 loss 0.8681
[E1] step 2840 loss 0.1789
[E1] step 2850 loss 2.7373
[E1] step 2860 loss 1.5265
[E1] step 2870 loss 1.2671
[E1] step 2880 loss 1.1247
[E1] step 2890 loss 0.3012
[E1] step 2900 loss 2.0717
[E1] step 2910 loss 0.6230
[E1] step 2920 loss 1.5746
[E1] step 2930 loss 2.1112
[E1] step 2940 loss 0.2889
[E1] step 2950 loss 0.0634
[E1] step 2960 loss 0.5462
[E1] step 2970 loss 0.0097
[E1] step 2980 loss 6.5725
[E1] step 2990 loss 0.7566
[E1] step 3000 loss 0.0772
[E1] step 3010 loss 0.3341
[E1] step 3020 loss 0.7242
[E1] step 3030 loss 0.0168
[E1] step 3040 loss 0.2874
[E1] step 3050 loss 4.7992
[E1] step 3060 loss 0.2090
[E1] step 3070 loss 3.9079
[E1] step 3080 loss 0.4656
[E1] step 3090 loss 6.8021
[E1] step 3100 loss 1.0636
[E1] step 3110 loss 2.7014
[E1] step 3120 loss 0.4610
[E1] step 3130 loss 10.3772
[E1] step 3140 loss 0.0875
[E1] step 3150 loss 2.1782
[E1] step 3160 loss 1.5709
[E1] step 3170 loss 0.0483
[E1] step 3180 loss 1.9907
[E1] step 3190 loss 4.5668
[E1] step 3200 loss 0.0049
[E1] step 3210 loss 1.0351
[E1] step 3220 loss 1.0461
[E1] step 3230 loss 0.7827
[E1] step 3240 loss 0.2280
[E1] step 3250 loss 1.6445
[E1] step 3260 loss 3.8353
[E1] step 3270 loss 0.4361
[E1] step 3280 loss 2.4070
[E1] step 3290 loss 0.3409
[E1] step 3300 loss 0.6505
[E1] step 3310 loss 0.4249
[E1] step 3320 loss 0.5050
[E1] step 3330 loss 0.4279
[E1] step 3340 loss 0.3313
[E1] step 3350 loss 0.6192
[E1] step 3360 loss 0.3227
[E1] step 3370 loss 0.1724
[E1] step 3380 loss 0.0314
[E1] step 3390 loss 0.2945
[E1] step 3400 loss 1.1676
[E1] step 3410 loss 0.1873
[E1] step 3420 loss 1.1534
[E1] step 3430 loss 0.8871
[E1] step 3440 loss 0.2405
[E1] step 3450 loss 2.2445
[E1] step 3460 loss 1.3917
[E1] step 3470 loss 0.5686
[E1] step 3480 loss 1.8003
[E1] step 3490 loss 3.4566
[E1] step 3500 loss 1.7708
[E1] step 3510 loss 0.3222
[E1] step 3520 loss 1.2830
[E1] step 3530 loss 1.3599
[E1] step 3540 loss 0.5487
[E1] step 3550 loss 1.9485
[E1] step 3560 loss 0.0467
[E1] step 3570 loss 0.5542
[E1] step 3580 loss 0.3066
[E1] step 3590 loss 0.0808
[E1] step 3600 loss 0.6769
[E1] step 3610 loss 1.2253
[E1] step 3620 loss 0.5582
[E1] step 3630 loss 0.1623
[E1] step 3640 loss 2.1798
[E1] step 3650 loss 0.0025
[E1] step 3660 loss 1.0206
[E1] step 3670 loss 0.3914
[E1] step 3680 loss 1.3361
[E1] step 3690 loss 0.2246
[E1] step 3700 loss 1.0015
[E1] step 3710 loss 2.5105
[E1] step 3720 loss 0.3313
[E1] step 3730 loss 0.1192
[E1] step 3740 loss 0.9772
[E1] step 3750 loss 1.4453
[E1] step 3760 loss 0.0186
[E1] step 3770 loss 1.4676
[E1] step 3780 loss 0.1455
[E1] step 3790 loss 3.5169
[E1] step 3800 loss 0.0386
[E1] step 3810 loss 0.2913
[E1] step 3820 loss 0.9126
[E1] step 3830 loss 1.3300
[E1] step 3840 loss 0.4460
[E1] step 3850 loss 0.0462
[E1] step 3860 loss 0.4339
[E1] step 3870 loss 3.7451
[E1] step 3880 loss 1.0289
[E1] step 3890 loss 0.0397
[E1] step 3900 loss 0.1119
[E1] step 3910 loss 0.0120
[E1] step 3920 loss 0.1582
[E1] step 3930 loss 2.9036
[E1] step 3940 loss 0.5115
[E1] step 3950 loss 0.9255
[E1] step 3960 loss 0.3649
[E1] step 3970 loss 0.3107
[E1] step 3980 loss 0.2195
[E1] step 3990 loss 0.7640
[E1] step 4000 loss 0.8510
[E1] step 4010 loss 1.5658
[E1] step 4020 loss 1.6113
[E1] step 4030 loss 1.0440
[E1] step 4040 loss 0.2311
[E1] step 4050 loss 0.8268
[E1] step 4060 loss 0.0637
[E1] step 4070 loss 0.8421
[E1] step 4080 loss 2.0903
[E1] step 4090 loss 0.8930
[E1] step 4100 loss 0.3565
[E1] step 4110 loss 0.9293
[E1] step 4120 loss 0.2140
[E1] step 4130 loss 0.1762
[E1] step 4140 loss 1.0212
[E1] step 4150 loss 1.3720
[E1] step 4160 loss 0.9560
[E1] step 4170 loss 0.4223
[E1] step 4180 loss 0.5585
[E1] step 4190 loss 0.3221
[E1] step 4200 loss 0.8778
[E1] step 4210 loss 0.4764
[E1] step 4220 loss 1.1318
[E1] step 4230 loss 0.5058
[E1] step 4240 loss 0.1156
[E1] step 4250 loss 0.3897
[E1] step 4260 loss 0.1388
[E1] step 4270 loss 1.0189
[E1] step 4280 loss 0.2648
[E1] step 4290 loss 0.7516
[E1] step 4300 loss 1.5485
[E1] step 4310 loss 1.5333
[E1] step 4320 loss 0.7550
[E1] step 4330 loss 0.2652
[E1] step 4340 loss 0.0474
[E1] step 4350 loss 0.3484
[E1] step 4360 loss 1.8983
[E1] step 4370 loss 0.1137
[E1] step 4380 loss 1.0364
[E1] step 4390 loss 0.8194
[E1] step 4400 loss 0.4190
[E1] step 4410 loss 2.9974
[E1] step 4420 loss 1.2109
[E1] step 4430 loss 3.1104
[E1] step 4440 loss 4.6580
[E1] step 4450 loss 0.5154
[E1] step 4460 loss 5.3796
[E1] step 4470 loss 0.3176
[E1] step 4480 loss 0.5278
[E1] step 4490 loss 1.0733
[E1] step 4500 loss 2.2633
[E1] step 4510 loss 1.1169
[E1] step 4520 loss 1.0317
[E1] step 4530 loss 0.9921
[E1] step 4540 loss 2.4507
[E1] step 4550 loss 3.0390
[E1] step 4560 loss 1.4989
[E1] step 4570 loss 1.1851
